species,fish_id,site.id,turf,macro,coral,cca,sponge,rubble,rock,other
Z. velifer,zv167,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv168,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv169,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv170,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv171,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv172,L1S2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv173,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv174,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv175,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv176,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv177,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv178,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv179,L2S1,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv180,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv181,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv182,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv183,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv184,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv185,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv186,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv187,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv188,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv189,L2S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv190,L2S3,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv191,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv192,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv193,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv194,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv195,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv196,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv197,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv198,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv199,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv200,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv201,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv202,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv203,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv204,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv205,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv206,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv207,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv208,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv209,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv210,L2S1,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.100
Z. velifer,zv211,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv212,L2S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv213,L2S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv214,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv215,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv216,L2S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv217,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv218,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv219,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv220,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv221,L2S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv222,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv223,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv224,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv225,L1S1,0.714,0.000,0.286,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv226,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv227,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv228,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv229,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv230,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv231,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv232,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv233,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv234,L1S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
