Collector,Year,Month,Location,Site,SiteID,SiteGrp,Depth,Transect,Transect_ID,T. length,Branching Coral,Rubble,Rock,Sand,Sponge,Plate coral,CCA,Turf Algae,Macro Algae,Branching Coral Avg,Rubble Avg,Rock Avg,Sand Avg,Sponge Avg,Plate coral Avg,CCA Avg,Turf Algae Avg,Macro Algae Avg
Mat,2021,Jul,L2,S3,L2S3,B,D1,1,Mat2021JulL2S3L2S3BD1,50,30,4,0,2,0,0,6,40,18,44.83333333,3,0,1.166666667,0.166666667,0.166666667,9.833333333,25.66666667,15.16666667
Mat,2021,Jul,L2,S3,L2S3,B,D2,1,Mat2021JulL2S3L2S3BD2,50,40,8,0,10,0,0,8,30,4,45.66666667,13,0.5,7.333333333,1.833333333,0,11.83333333,15.5,4.333333333
Mat,2021,Aug,L2,S1,L2S1,C,D1,1,Mat2021AugL2S1L2S1CD1,50,28,0,0,0,0,0,8,52,12,43.66666667,0.166666667,0,0,0,0,6.5,34,15.66666667
Mat,2021,Aug,L2,S1,L2S1,C,D2,1,Mat2021AugL2S1L2S1CD2,50,78,2,0,8,0,0,4,8,0,68,9,0,2,0,0.166666667,6.166666667,13.66666667,1
Mat,2021,Aug,L2,S2,L2S2,C,D1,1,Mat2021AugL2S2L2S2CD1,50,28,0,0,0,0,0,8,58,6,46,0.333333333,0,0.166666667,0.166666667,0.166666667,9.5,33.16666667,10.5
Mat,2021,Aug,L2,S2,L2S2,C,D2,1,Mat2021AugL2S2L2S2CD2,50,60,4,0,16,0,0,8,10,2,51.33333333,12.83333333,0.166666667,9.166666667,0.666666667,0,10.16666667,11.16666667,4.5
Mat,2021,Aug,L2,S3,L2S3,B,D1,1,Mat2021AugL2S3L2S3BD1,50,42,0,0,2,0,0,8,36,12,44.83333333,3,0,1.166666667,0.166666667,0.166666667,9.833333333,25.66666667,15.16666667
Mat,2021,Aug,L2,S3,L2S3,B,D2,1,Mat2021AugL2S3L2S3BD2,50,46,16,0,10,4,0,10,14,0,45.66666667,13,0.5,7.333333333,1.833333333,0,11.83333333,15.5,4.333333333
Mat,2021,Sep,L2,S1,L2S1,C,D1,1,Mat2021SepL2S1L2S1CD1,50,28,0,0,0,0,0,6,42,24,43.66666667,0.166666667,0,0,0,0,6.5,34,15.66666667
Mat,2021,Sep,L2,S1,L2S1,C,D2,1,Mat2021SepL2S1L2S1CD2,50,72,4,0,2,0,0,6,14,2,68,9,0,2,0,0.166666667,6.166666667,13.66666667,1
Mat,2021,Sep,L2,S2,L2S2,C,D1,1,Mat2021SepL2S2L2S2CD1,50,34,0,0,0,0,0,18,44,4,46,0.333333333,0,0.166666667,0.166666667,0.166666667,9.5,33.16666667,10.5
Mat,2021,Sep,L2,S2,L2S2,C,D2,1,Mat2021SepL2S2L2S2CD2,50,54,0,0,2,0,0,20,14,10,51.33333333,12.83333333,0.166666667,9.166666667,0.666666667,0,10.16666667,11.16666667,4.5
Mat,2021,Sep,L2,S3,L2S3,B,D1,1,Mat2021SepL2S3L2S3BD1,50,58,0,0,0,0,0,10,16,16,44.83333333,3,0,1.166666667,0.166666667,0.166666667,9.833333333,25.66666667,15.16666667
Mat,2021,Sep,L2,S3,L2S3,B,D2,1,Mat2021SepL2S3L2S3BD2,50,48,6,0,4,0,0,14,16,12,45.66666667,13,0.5,7.333333333,1.833333333,0,11.83333333,15.5,4.333333333
Mat,2021,Oct,L2,S1,L2S1,C,D1,1,Mat2021OctL2S1L2S1CD1,50,56,0,0,0,0,0,0,34,10,43.66666667,0.166666667,0,0,0,0,6.5,34,15.66666667
